Facility type,P2GreeN Region,Name,"Coordinates (Lat, Long)",Yearly presence/ capacity,Source,Est. Attendance/Event/ uriners,Events/Year,Urine/Person/Event (L),Total Urine/Year
Airport,"Attica, Greece",Athens International Airport (ATH),"37.936, 23.947",31894511,Athens Airport Guide,19136707,,0.2,3827341
University,"Attica, Greece",National and Kapodistrian University of Athens,"37.968, 23.765",70000,https://en.wikipedia.org/wiki/National_and_Kapodistrian_University_of_Athens,,,,
University,"Attica, Greece",National Technical University of Athens (NTUA),"37.978, 23.732",15000,https://en.wikipedia.org/wiki/National_Technical_University_of_Athens,,,,
University,"Attica, Greece",University of West Attica,"38.011, 23.679",35000,https://en.wikipedia.org/wiki/University_of_West_Attica,,,,
University,"Attica, Greece",Harokopio University,"37.964, 23.707",4000,https://en.wikipedia.org/wiki/Harokopio_University,,,,
University,"Attica, Greece",Athens University of Economics and Business (AUEB),"38.015, 23.732",12000,https://en.wikipedia.org/wiki/Athens_University_of_Economics_and_Business,,,,
University,"Attica, Greece",Panteion University of Social and Political Sciences,"37.951, 23.722",19000,https://en.wikipedia.org/wiki/Panteion_University,,,,
University,"Attica, Greece",University of Piraeus,"37.941, 23.653",10000,https://en.wikipedia.org/wiki/University_of_Piraeus,,,,
University,"Attica, Greece",School of Pedagogical and Technological Education (ASPETE),"38.016, 23.783",5000,https://en.wikipedia.org/wiki/School_of_Pedagogical_and_Technological_Education,,,,
Stadium,"Attica, Greece","Olympic Stadium ""Spyros Louis""","38.039, 23.789",69618,https://en.wikipedia.org/wiki/Olympic_Stadium_(Athens),50000,30,0.4,900000
Stadium,"Attica, Greece",Karaiskakis Stadium,"37.946, 23.664",33334,https://en.wikipedia.org/wiki/Georgios_Karaiskakis_Stadium,25000,25,0.4,375000
Stadium,"Attica, Greece",Agia Sophia Stadium,"38.039, 23.684",31500,https://en.wikipedia.org/wiki/Agia_Sophia_Stadium,25000,20,0.4,300000
Stadium,"Attica, Greece",Stadio Apostolos Nikolaidis,"37.983, 23.748",16003,https://en.wikipedia.org/wiki/Apostolos_Nikolaidis_Stadium,12000,18,0.4,129600
Train Station,"Attica, Greece",Athens Central Station (Larissa Station),"37.992, 23.721",,https://en.wikipedia.org/wiki/Railway_stations_in_Greece,,,,
Prison,"Attica, Greece",Korydallos Prison,"37.984, 23.650","1,800",https://en.wikipedia.org/wiki/Korydallos_Prison,,,1.3,854100
Prison,"Attica, Greece",Avlona Special Juvenile Detention Establishment,"38.220, 23.800",500,https://en.wikipedia.org/wiki/Avlona_Prison,,,1.3,237250
