Facility type,P2GreeN Region,Name,"Coordinates (Lat, Long)",Yearly presence/ capacity,Source,Est. Attendance/Event/ uriners,Events/Year,Urine/Person/Event (L),Total Urine/Year
Airport,"Campania, Italy",Naples International Airport (NAP),"40.886, 14.290",12394911,Wikipedia,7436947,,0.2,1487389
Airport,"Campania, Italy",Salerno Costa d'Amalfi Airport (QSR),"40.620, 14.913",179123,Wikipedia,107474,,0.2,21495
University,"Campania, Italy",University of Naples Federico II,"40.842, 14.252",80000,unina.it,,,,
University,"Campania, Italy",University of Salerno,"40.770, 14.790",40000,unisa.it,,,,
University,"Campania, Italy",University of Naples Federico II,"40.842, 14.252",80000,https://en.wikipedia.org/wiki/University_of_Naples_Federico_II,,,,
University,"Campania, Italy",University of Naples L'Orientale,"40.849, 14.260",10000,https://en.wikipedia.org/wiki/University_of_Naples_L%27Orientale,,,,
University,"Campania, Italy",University of Naples Parthenope,"40.835, 14.248",16000,https://en.wikipedia.org/wiki/Parthenope_University_of_Naples,,,,
University,"Campania, Italy",University of Salerno,"40.770, 14.790",40000,https://en.wikipedia.org/wiki/University_of_Salerno,,,,
University,"Campania, Italy",Suor Orsola Benincasa University of Naples,"40.843, 14.244",8000,https://en.wikipedia.org/wiki/Suor_Orsola_Benincasa_University_of_Naples,,,,
University,"Campania, Italy",Pegaso Telematic University,"40.847, 14.252",90000,https://en.wikipedia.org/wiki/Pegaso_University,,,,
University,"Campania, Italy","University of Campania ""Luigi Vanvitelli""","41.072, 14.332",29000,https://en.wikipedia.org/wiki/University_of_Campania_Luigi_Vanvitelli,,,,
Stadium,"Campania, Italy",Stadio Diego Armando Maradona,"40.827, 14.193",54726,https://en.wikipedia.org/wiki/Stadio_Diego_Armando_Maradona,40000,25,0.4,600000
Stadium,"Campania, Italy",Stadio Arechi,"40.646, 14.823",37000,https://en.wikipedia.org/wiki/Stadio_Arechi,25000,20,0.4,300000
Stadium,"Campania, Italy",Stadio Ciro Vigorito,"41.133, 14.782",16767,https://en.wikipedia.org/wiki/Stadio_Ciro_Vigorito,12000,15,0.4,108000
Train Station,"Campania, Italy",Napoli Centrale,"40.852, 14.268",50000000,https://www.worldatlas.com/articles/the-10-busiest-railway-stations-in-italy.html,7500000,,0.4,3000000
Prison,"Campania, Italy",Casa Circondariale di Napoli Poggioreale,"40.861, 14.276","1,900",https://en.wikipedia.org/wiki/Naples_Poggioreale_prison,,,1.3,901550
Prison,"Campania, Italy",Casa Circondariale di Santa Maria Capua Vetere,"41.084, 14.247","1,000",https://en.wikipedia.org/wiki/Santa_Maria_Capua_Vetere_prison,,,1.3,474500
