Province,Municipality,Address,Typology,Reflui Trattati,Potenz. (A.E.),Corpo Recettore,Recettore Finale,full_address,fallback_address,Latitude,Longitude
CASERTA,PRESENZANO,LOC. CAMBIANELLI,Depuratore,Urbani,ND,Fosso Di Maltempo,,"LOC. CAMBIANELLI, PRESENZANO, Campania, Italy","PRESENZANO, CASERTA, Campania, Italy",41.3710328,14.1055651
CASERTA,CASTELMORRONE,FRAZ. CASALE,Depuratore,Urbani,ND,Vallone Morrone,F.Volturno,"FRAZ. CASALE, CASTELMORRONE, Campania, Italy","CASTELMORRONE, CASERTA, Campania, Italy",41.132666,14.376123
NAPOLI,CAPRI,Trav. S. Francesco s.n.c.,Comunale,Urbani,n.d.,Corpo Idrico Superficiale,Mar Tirreno,"Trav. S. Francesco s.n.c., CAPRI, Campania, Italy","CAPRI, NAPOLI, Campania, Italy",40.5488429,14.2283708
NAPOLI,ANACAPRI,Località La Selva senza n.c.,Comunale,Urbani,n.d.,Corpo Idrico Superficiale,Mar Tirreno,"Località La Selva senza n.c., ANACAPRI, Campania, Italy","ANACAPRI, NAPOLI, Campania, Italy",40.555713,14.2136104
NAPOLI,MONTE DI PROCIDA,Via G. Da Procida snc,Comunale,Urbani,n.d.,Corpo Idrico Superficiale,Mar Tirreno,"Via G. Da Procida snc, MONTE DI PROCIDA, Campania, Italy","MONTE DI PROCIDA, NAPOLI, Campania, Italy",40.800907,14.051827
NAPOLI,CAPRI,Località Unghia Marina,Comunale,Urbani,n.d.,Corpo Idrico Superficiale,Mar Tirreno,"Località Unghia Marina, CAPRI, Campania, Italy","CAPRI, NAPOLI, Campania, Italy",40.5488429,14.2283708
SALERNO,CAMEROTA,LOC. MARINA,Comunale,Urbani,-,Condotta Sottomarina,Mare,"LOC. MARINA, CAMEROTA, Campania, Italy","CAMEROTA, SALERNO, Campania, Italy",40.032501,15.372765
NAPOLI,CUMA (NAPOLI OVEST),Via Domitiana Località Cuma/Licola,Comprensoriale,Urbani,1800000,Corpo Idrico Superficiale,Mar Tirreno,"Via Domitiana Località Cuma/Licola, CUMA (NAPOLI OVEST), Campania, Italy","CUMA (NAPOLI OVEST), NAPOLI, Campania, Italy",40.851474,14.061485
NAPOLI,NAPOLI,Via De Roberto,Comprensoriale,Urbani,1750000,Corpo Idrico Superficiale,Mar Tirreno,"Via De Roberto, NAPOLI, Campania, Italy","NAPOLI, NAPOLI, Campania, Italy",40.8632236,14.3090031
CASERTA,MARCIANISE,"265 36,200 Località Carbone",Comprensoriale,Urbani (60%) -Industriali (40%),803000,Regi Lagni,Regi Lagni,"265 36,200 Località Carbone, MARCIANISE, Campania, Italy","MARCIANISE, CASERTA, Campania, Italy",41.0329966,14.2984228
